2023-03-30T22:09:25.790633300,AI,195
2023-03-30T22:56:53.281949700,AI,206
2023-03-31T11:48:46.305718800,AI,157
2023-03-31T12:09:35.831677800,Human,0,
2023-03-31T12:09:40.132722700,Human,1,
2023-03-31T12:09:46.354897,Human,2,
2023-03-31T12:13:10.276181300,Human,1,
2023-03-31T12:15:11.794979400,Human,0,
2023-03-31T12:18:49.135356200,Human,7,
2023-03-31T12:19:24.944573800,Human,0,
2023-03-31T12:25:46.494340300,Human,10,
2023-03-31T12:26:56.598108100,AI,155,
2023-03-31T14:59:57.483056400,AI,0,
2023-03-31T15:00:00.052406100,AI,0,
2023-03-31T15:01:18.972798700,AI,0,
2023-03-31T15:03:36.972352,AI,133,
2023-03-31T15:04:58.507009100,AI,150,
2023-03-31T15:07:46.465655900,AI,160,
2023-03-31T16:06:26.101734800,AI,135,
2023-03-31T16:08:15.771793600,AI,191,
2023-03-31T20:32:51.846035600,AI,178,
2023-03-31T21:06:21.718966100,AI,165,
2023-03-31T21:10:45.821889,AI,169,
2023-03-31T21:20:00.861015300,Human,26,
2023-03-31T21:20:17.207403500,Human,6,
2023-03-31T21:20:36.878377600,Human,9,
2023-03-31T21:21:03.273203900,Human,11,
2023-03-31T21:29:11.476886,Human,43,
